ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
550,No,No,No,7,585,7,Travel and Tourism,Landing Page Submission
551,No,No,No,1,41,1,,API
552,Yes,No,No,5,1342,5,Marketing Management,Landing Page Submission
553,No,No,No,0,0,0,,API
554,Yes,No,No,9,1125,9,,API
555,Yes,No,No,13,373,6.5,E-COMMERCE,Landing Page Submission
556,No,No,No,3,316,3,,API
557,Yes,No,No,6,1779,6,Travel and Tourism,API
558,No,No,No,0,0,0,,API
559,No,No,No,1,1295,1,,API
560,No,No,No,4,1158,4,Marketing Management,Landing Page Submission
561,Yes,No,No,5,1387,1.67,"Banking, Investment And Insurance",API
562,No,No,No,3,1641,3,,API
563,No,No,No,2,226,2,,API
564,Yes,No,No,1,598,1,Operations Management,Landing Page Submission
565,Yes,No,No,3,1292,3,,API
566,Yes,No,No,9,888,9,Finance Management,Landing Page Submission
567,No,No,No,3,242,3,Business Administration,Landing Page Submission
568,No,No,No,4,332,4,IT Projects Management,Landing Page Submission
569,Yes,No,No,3,1350,1.5,Finance Management,Landing Page Submission
570,No,No,No,6,192,6,IT Projects Management,Landing Page Submission
571,No,No,No,5,409,5,IT Projects Management,Landing Page Submission
572,No,No,No,1,37,1,,API
573,Yes,No,No,7,628,3.5,"Banking, Investment And Insurance",API
574,No,Yes,No,1,68,1,Finance Management,Landing Page Submission
575,No,No,No,7,385,7,IT Projects Management,Landing Page Submission
576,No,No,No,0,0,0,,API
577,Yes,No,No,5,1291,5,,API
578,No,No,No,3,239,3,Marketing Management,Landing Page Submission
579,No,No,No,3,726,3,,API
580,No,No,No,13,99,13,,API
581,Yes,No,No,6,1092,3,Finance Management,Landing Page Submission
582,No,No,No,2,414,2,Travel and Tourism,Landing Page Submission
583,Yes,No,No,3,1152,3,,API
584,No,No,No,2,156,2,,API
585,No,No,No,7,305,2.33,Marketing Management,Landing Page Submission
586,Yes,No,No,,844,,,Lead Import
587,No,No,No,0,0,0,,Lead Import
588,No,No,No,,11,,,Lead Import
589,No,No,No,0,0,0,,Lead Import
590,No,No,No,,131,,,Lead Import
591,No,No,No,,129,,,Lead Import
592,No,No,No,,19,,,Lead Import
593,No,No,No,,1517,,,Lead Import
594,No,No,No,,32,,,Lead Import
595,No,No,No,0,0,0,,Lead Import
596,No,No,No,0,0,0,,Lead Import
597,Yes,No,No,,1608,,,Lead Import
598,No,No,No,,103,,,Lead Import
599,Yes,No,No,,1012,,Healthcare Management,Lead Import
600,No,No,No,0,0,0,,Lead Import
601,Yes,No,No,0,0,0,International Business,Lead Import
602,No,No,No,,345,,,Lead Import
603,No,No,No,0,0,0,,Lead Import
604,No,No,No,,97,,,Lead Import
605,Yes,No,No,1,288,1,E-Business,Lead Add Form
606,No,No,No,6,81,6,Travel and Tourism,Landing Page Submission
607,No,No,No,3,12,3,,API
608,Yes,No,No,0,0,0,Healthcare Management,Lead Add Form
609,No,No,No,3,301,3,,API
610,No,No,No,5,4,1.67,,API
611,Yes,No,No,4,1523,4,,API
612,Yes,No,No,3,7,3,Marketing Management,API
613,No,No,No,4,321,4,Human Resource Management,Landing Page Submission
614,Yes,No,No,0,0,0,,API
615,No,No,No,2,293,2,,API
616,No,No,No,4,1313,4,,API
617,Yes,No,No,2,1368,2,"Banking, Investment And Insurance",Landing Page Submission
618,Yes,No,No,3,94,1.5,Marketing Management,Landing Page Submission
619,No,No,No,5,616,5,Human Resource Management,Landing Page Submission
620,Yes,No,Yes,9,1482,3,Marketing Management,API
621,No,No,No,3,52,3,,API
622,No,No,No,7,6,7,Finance Management,Landing Page Submission
623,Yes,No,No,0,0,0,Human Resource Management,API
624,Yes,No,No,0,0,0,Operations Management,Lead Add Form
625,No,No,No,3,145,3,Travel and Tourism,Landing Page Submission
626,No,Yes,No,0,0,0,,API
627,No,Yes,No,2,18,2,,API
628,No,No,No,3,116,3,,API
629,No,No,No,5,221,5,Travel and Tourism,Landing Page Submission
630,No,No,No,4,327,4,Finance Management,Landing Page Submission
631,No,No,No,4,1027,4,Media and Advertising,Landing Page Submission
632,Yes,No,No,,1743,,,Lead Add Form
633,No,No,No,4,105,2,Operations Management,Landing Page Submission
634,No,No,No,4,437,4,Marketing Management,Landing Page Submission
635,No,No,No,2,25,2,IT Projects Management,Landing Page Submission
636,No,No,No,0,0,0,,API
637,No,No,No,1,101,1,,API
638,Yes,No,No,3,978,3,,API
639,No,No,No,6,208,6,,API
640,Yes,Yes,No,,1952,,Finance Management,Lead Add Form
641,No,No,No,5,497,5,Operations Management,Landing Page Submission
642,No,No,No,3,118,1.5,,API
643,No,No,No,6,356,3,,API
644,Yes,No,No,0,0,0,,API
645,Yes,No,No,7,472,1.75,Human Resource Management,Landing Page Submission
646,No,No,No,0,0,0,,API
647,No,No,No,7,47,7,,API
648,Yes,No,No,3,312,3,Operations Management,Landing Page Submission
649,No,No,No,12,333,6,Marketing Management,Landing Page Submission
650,No,No,No,3,1458,3,Human Resource Management,Landing Page Submission
651,Yes,No,No,0,0,0,Finance Management,Lead Add Form
652,Yes,No,No,2,25,1,Human Resource Management,API
653,No,No,No,2,49,2,,API
654,No,No,No,4,213,4,,API
655,No,No,No,2,210,2,Finance Management,Landing Page Submission
656,No,No,No,3,253,3,,API
657,No,No,No,4,353,4,E-COMMERCE,Landing Page Submission
658,Yes,No,No,,417,,Finance Management,Lead Add Form
659,No,No,No,12,1452,3,Human Resource Management,Landing Page Submission
660,Yes,No,No,0,0,0,Business Administration,API
661,No,No,No,0,0,0,,API
662,Yes,No,No,2,1499,2,Finance Management,Landing Page Submission
663,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
664,Yes,No,No,21,1885,3.5,Business Administration,Landing Page Submission
665,No,No,No,3,144,3,,API
666,No,Yes,No,4,489,2,,API
667,No,No,No,2,190,2,Human Resource Management,Landing Page Submission
668,Yes,No,No,0,0,0,,Lead Add Form
669,No,No,No,0,0,0,,API
670,No,No,No,11,1208,3.67,"Banking, Investment And Insurance",Landing Page Submission
671,No,No,No,9,208,4.5,,API
672,Yes,No,No,1,491,1,,API
673,No,No,No,,463,,,API
674,Yes,No,No,2,1284,2,Supply Chain Management,Landing Page Submission
675,No,No,No,4,18,4,Human Resource Management,Landing Page Submission
676,Yes,No,No,4,363,4,Supply Chain Management,Landing Page Submission
677,Yes,No,No,4,1588,4,Supply Chain Management,Landing Page Submission
678,No,Yes,No,6,357,2,Supply Chain Management,Landing Page Submission
679,No,No,No,3,211,3,Finance Management,Landing Page Submission
680,Yes,No,No,5,1328,2.5,Retail Management,Landing Page Submission
681,No,No,No,,177,,,API
682,No,No,No,3,193,1.5,,API
683,No,No,No,2,1607,2,,API
684,Yes,No,No,6,1505,6,Human Resource Management,Landing Page Submission
685,No,Yes,No,4,839,4,,API
686,No,No,No,4,284,4,Finance Management,Landing Page Submission
687,Yes,No,No,8,978,2,Operations Management,API
688,No,No,No,9,367,3,,API
689,No,No,No,3,1191,3,Human Resource Management,Landing Page Submission
690,Yes,No,No,2,188,2,Marketing Management,API
691,No,No,No,2,1595,2,Marketing Management,Landing Page Submission
692,No,No,No,2,70,2,Marketing Management,Landing Page Submission
693,No,No,No,0,0,0,,API
694,Yes,No,No,4,811,1.33,Operations Management,API
695,No,No,No,9,81,4.5,,API
696,No,No,No,6,634,6,Marketing Management,Landing Page Submission
697,No,No,No,2,190,2,International Business,Landing Page Submission
698,No,No,No,2,364,2,Operations Management,Landing Page Submission
699,No,No,No,10,198,3.33,,API
700,No,No,No,3,265,3,,API
701,Yes,No,No,2,813,2,Finance Management,Landing Page Submission
702,No,No,No,5,299,5,Finance Management,Landing Page Submission
703,No,Yes,No,5,115,5,Healthcare Management,Landing Page Submission
704,No,No,No,5,51,2.5,,API
705,No,No,No,7,1,7,,API
706,No,No,No,2,32,2,,API
707,No,Yes,No,4,124,4,Hospitality Management,Landing Page Submission
708,No,No,No,3,66,3,Media and Advertising,Landing Page Submission
709,No,No,No,3,213,1.5,Finance Management,API
710,Yes,No,No,1,1203,1,Human Resource Management,API
711,No,No,No,4,92,4,Business Administration,Landing Page Submission
712,No,No,No,3,306,3,,API
713,No,No,No,1,151,1,,API
714,Yes,No,No,5,818,2.5,Finance Management,API
715,No,No,No,4,32,4,Human Resource Management,Landing Page Submission
716,Yes,No,No,5,1016,2.5,E-Business,Landing Page Submission
717,No,No,No,2,169,2,Finance Management,Landing Page Submission
718,No,No,No,2,8,2,,API
719,Yes,No,No,4,1252,2,Supply Chain Management,Landing Page Submission
720,No,Yes,No,2,122,2,Finance Management,Landing Page Submission
721,No,No,No,4,1505,4,IT Projects Management,Landing Page Submission
722,No,No,No,2,33,2,Finance Management,Landing Page Submission
723,Yes,No,No,3,1746,3,Rural and Agribusiness,Landing Page Submission
724,No,No,No,5,346,2.5,Finance Management,Landing Page Submission
725,No,Yes,No,4,1,4,Business Administration,Landing Page Submission
726,Yes,No,No,2,1208,2,,API
727,No,No,No,5,425,5,International Business,Landing Page Submission
728,Yes,No,No,5,1313,2.5,Marketing Management,API
729,No,No,No,1,27,1,,Landing Page Submission
730,No,No,No,4,632,4,Human Resource Management,Landing Page Submission
731,No,No,No,3,506,1.5,,API
732,Yes,No,No,2,340,2,Finance Management,Landing Page Submission
733,No,No,No,4,1596,4,,API
734,No,No,No,7,103,3.5,,API
735,Yes,No,No,8,248,8,Media and Advertising,Landing Page Submission
736,No,No,No,4,328,4,Supply Chain Management,Landing Page Submission
737,No,No,No,2,1450,2,,API
738,Yes,No,No,0,0,0,Finance Management,Lead Add Form
739,Yes,No,No,4,945,2,,API
740,Yes,No,No,3,1764,3,Finance Management,Lead Add Form
741,No,No,No,3,139,3,Finance Management,Landing Page Submission
742,No,No,No,3,403,3,,API
743,No,No,No,0,0,0,,API
744,No,No,No,1,583,1,IT Projects Management,Landing Page Submission
745,No,No,No,3,1392,3,,API
746,No,No,No,2,1613,2,Supply Chain Management,Landing Page Submission
747,No,No,No,0,0,0,Marketing Management,Lead Add Form
748,Yes,No,No,5,285,5,Marketing Management,Landing Page Submission
749,No,No,No,13,263,2.6,Human Resource Management,Landing Page Submission
750,No,No,No,5,1662,2.5,,API
751,No,No,No,3,303,3,,API
752,Yes,No,No,0,0,0,Healthcare Management,API
753,Yes,No,No,5,444,5,Business Administration,Landing Page Submission
754,No,No,No,2,11,2,IT Projects Management,Landing Page Submission
755,No,No,No,6,1623,6,Operations Management,Landing Page Submission
756,No,No,No,4,213,4,,API
757,No,No,No,2,7,2,Operations Management,Landing Page Submission
758,No,No,No,7,9,7,,API
759,No,No,No,9,102,3,Finance Management,API
760,No,No,No,4,1203,2,,API
761,Yes,No,No,3,1160,3,Marketing Management,Landing Page Submission
762,No,No,No,10,59,3.33,Finance Management,Landing Page Submission
763,No,No,No,0,0,0,,API
764,No,No,No,1,87,1,,API
765,Yes,No,No,4,49,4,Human Resource Management,API
766,No,No,No,1,94,1,,API
767,No,No,No,4,225,2,Finance Management,API
768,No,No,No,19,415,4.75,,API
769,Yes,No,No,4,1120,4,Finance Management,Landing Page Submission
770,No,No,No,3,334,3,Marketing Management,Landing Page Submission
771,No,No,No,4,342,4,E-COMMERCE,Landing Page Submission
772,No,No,No,7,49,7,,API
773,No,No,No,4,34,2,Operations Management,Landing Page Submission
774,No,No,No,3,271,1.5,,API
775,No,Yes,No,0,0,0,,API
776,No,No,No,14,1747,1.27,Finance Management,Landing Page Submission
777,Yes,No,No,3,779,3,Human Resource Management,Landing Page Submission
778,Yes,No,No,2,980,2,Finance Management,Landing Page Submission
779,No,No,No,3,121,3,Business Administration,Landing Page Submission
780,No,No,No,6,14,3,Healthcare Management,Landing Page Submission
781,Yes,No,No,5,1254,5,Travel and Tourism,Landing Page Submission
782,No,No,No,13,24,6.5,,API
783,Yes,No,No,0,0,0,,API
784,No,No,No,4,2,4,Marketing Management,Landing Page Submission
785,Yes,No,No,3,981,3,Human Resource Management,API
786,Yes,No,No,3,717,1.5,Operations Management,API
787,No,No,No,2,1058,2,Operations Management,Landing Page Submission
788,No,No,No,4,977,4,Supply Chain Management,Landing Page Submission
789,Yes,No,No,8,1335,8,Human Resource Management,Landing Page Submission
790,Yes,No,No,8,1148,4,Business Administration,Landing Page Submission
791,No,No,No,4,243,4,Human Resource Management,Landing Page Submission
792,No,No,No,8,501,2.67,,API
793,No,No,No,2,72,2,Healthcare Management,Landing Page Submission
794,No,No,No,0,0,0,,API
795,No,No,No,10,869,5,Operations Management,Landing Page Submission
796,Yes,No,No,9,1342,3,Finance Management,Landing Page Submission
797,No,No,No,2,369,2,,API
798,No,No,No,0,0,0,,API
799,No,No,No,4,168,4,IT Projects Management,Landing Page Submission
800,Yes,No,No,4,1298,4,Finance Management,Landing Page Submission
801,No,No,No,2,426,2,Marketing Management,Landing Page Submission
802,Yes,No,No,6,294,6,Finance Management,Landing Page Submission
803,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
804,No,No,No,5,255,5,Supply Chain Management,API
805,Yes,No,No,2,1300,2,,API
806,Yes,No,No,0,0,0,,API
807,No,No,No,4,54,4,,API
808,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
809,Yes,No,No,0,0,0,,Lead Add Form
810,No,No,No,0,0,0,Hospitality Management,Lead Add Form
811,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
812,No,No,No,1,300,1,,API
813,No,No,No,13,9,3.25,,API
814,Yes,No,No,0,0,0,,API
815,No,No,No,5,115,5,"Banking, Investment And Insurance",Landing Page Submission
816,No,No,No,6,779,3,E-Business,Landing Page Submission
817,Yes,No,No,3,1007,1.5,,API
818,No,No,No,0,0,0,,API
819,Yes,No,No,16,1570,5.33,,Lead Add Form
820,Yes,No,No,11,2069,5.5,Business Administration,Landing Page Submission
821,No,No,No,0,0,0,,API
822,No,No,No,9,176,1.8,,API
823,Yes,No,No,0,0,0,,Lead Add Form
824,No,No,No,3,97,3,,API
825,Yes,No,No,6,442,6,Marketing Management,API
826,No,No,No,3,271,3,Finance Management,Landing Page Submission
827,No,No,No,1,258,1,,API
828,No,No,No,4,1277,4,International Business,Landing Page Submission
829,No,No,No,2,480,1,,API
830,Yes,No,No,6,605,2,IT Projects Management,Landing Page Submission
831,No,No,No,0,0,0,,API
832,Yes,No,No,5,968,1.25,Operations Management,API
833,No,No,No,4,1452,4,Finance Management,Landing Page Submission
834,Yes,No,No,0,0,0,,API
835,No,No,No,3,1198,3,Marketing Management,Landing Page Submission
836,Yes,No,No,2,1334,2,Marketing Management,API
837,Yes,Yes,No,,1378,,,Lead Add Form
838,No,No,No,10,65,5,,API
839,Yes,No,No,2,454,2,,API
840,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
841,Yes,No,No,13,1097,6.5,,API
842,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
843,No,No,No,7,166,7,,API
844,Yes,No,No,5,1577,5,,API
845,No,No,No,1,143,1,,API
846,No,No,No,6,234,6,,API
847,Yes,No,No,0,0,0,Finance Management,Lead Add Form
848,No,No,No,5,87,2.5,Marketing Management,Landing Page Submission
849,Yes,No,No,3,1662,3,Supply Chain Management,Landing Page Submission
850,No,No,No,12,68,3,IT Projects Management,API
851,No,No,No,3,829,1.5,Finance Management,Landing Page Submission
852,Yes,No,No,2,1142,1,,API
853,No,No,No,0,0,0,,API
854,Yes,No,No,6,305,3,,API
855,Yes,No,No,4,1652,4,Marketing Management,Landing Page Submission
856,Yes,No,No,5,1092,5,,API
857,No,No,No,3,201,3,Marketing Management,Landing Page Submission
858,No,No,No,5,1326,5,"Banking, Investment And Insurance",Landing Page Submission
859,No,No,No,3,293,3,Marketing Management,Landing Page Submission
860,Yes,No,No,3,1126,1.5,Hospitality Management,API
861,No,No,No,3,179,3,Business Administration,Landing Page Submission
862,No,No,No,2,193,2,,API
863,No,No,No,2,168,2,,API
864,No,No,No,3,186,3,,API
865,Yes,No,No,0,0,0,,API
866,No,No,No,3,238,3,Business Administration,Landing Page Submission
867,No,Yes,No,3,233,3,,API
868,No,No,No,2,121,2,,API
869,Yes,No,No,7,834,3.5,International Business,Landing Page Submission
870,No,No,No,4,50,1.33,Finance Management,API
871,No,Yes,No,2,396,2,,API
872,No,No,No,5,376,5,Marketing Management,Landing Page Submission
873,Yes,No,No,4,1104,4,Hospitality Management,Landing Page Submission
874,No,Yes,No,2,297,2,,API
875,Yes,No,No,6,1276,3,Human Resource Management,API
876,No,No,No,5,75,2.5,Human Resource Management,Landing Page Submission
877,Yes,No,No,0,0,0,,API
878,Yes,No,No,5,893,5,,API
879,No,Yes,No,3,89,3,Operations Management,Landing Page Submission
880,No,No,No,3,645,1,,API
881,Yes,No,No,4,638,4,IT Projects Management,Landing Page Submission
882,No,No,No,4,938,4,Marketing Management,Landing Page Submission
883,No,No,No,6,296,6,Business Administration,Landing Page Submission
884,No,No,No,5,120,5,Retail Management,Landing Page Submission
885,Yes,No,No,9,1047,9,Hospitality Management,Landing Page Submission
886,No,Yes,No,8,88,8,,API
887,No,No,No,2,602,2,,API
888,Yes,No,No,6,168,2,Finance Management,Landing Page Submission
889,No,No,No,4,1051,4,International Business,Landing Page Submission
890,Yes,No,No,4,854,4,Marketing Management,Landing Page Submission
891,No,No,No,7,1762,7,,API
892,Yes,No,No,4,453,2,Human Resource Management,Landing Page Submission
893,Yes,No,No,6,1966,6,Business Administration,Landing Page Submission
894,No,No,No,2,1494,2,,API
895,No,No,No,8,36,2,International Business,Landing Page Submission
896,No,No,No,5,887,2.5,International Business,Landing Page Submission
897,Yes,No,No,18,59,2.57,Business Administration,Landing Page Submission
898,No,No,No,5,331,1.67,Rural and Agribusiness,Landing Page Submission
899,No,No,No,2,164,2,"Banking, Investment And Insurance",Landing Page Submission
900,Yes,No,No,2,1585,2,Operations Management,API
901,Yes,No,No,5,1169,5,Finance Management,Landing Page Submission
902,Yes,No,No,4,1425,4,Finance Management,Landing Page Submission
903,No,No,No,8,1071,8,Human Resource Management,Landing Page Submission
904,No,No,No,4,12,4,"Banking, Investment And Insurance",Landing Page Submission
905,No,No,No,3,180,3,,API
906,No,No,No,2,271,1,,API
907,No,No,No,4,139,4,Business Administration,Landing Page Submission
908,Yes,No,No,3,781,3,Marketing Management,Landing Page Submission
909,No,No,No,9,338,2.25,Finance Management,Landing Page Submission
910,No,No,No,0,0,0,,API
911,Yes,No,No,3,117,1.5,,API
912,No,No,No,7,1028,3.5,,API
913,No,No,No,6,406,3,IT Projects Management,Landing Page Submission
914,Yes,No,No,12,341,3,,API
915,Yes,No,No,0,0,0,,API
916,No,No,No,2,250,2,Marketing Management,Landing Page Submission
917,No,No,No,4,171,2,,Landing Page Submission
918,No,No,No,13,78,2.17,,API
919,Yes,Yes,No,0,0,0,,Lead Add Form
920,No,No,No,7,60,3.5,Marketing Management,Landing Page Submission
921,No,No,No,0,0,0,,API
922,No,No,No,2,494,2,,API
